,,,,,,,
,,,,,,,
,,,,,,,
,Device,Population Size,Power_mean(W),Execution_time (sec),,Power (kwh),Energy (Jules)
,,100,,,,,
,RaspberryPi,,0.5,233.14,3.24E-5,0.00003238,116.57
,Tablet,,0.63,132.75,2.31E-5,0.00002307,83.3
,Mac,,12.26,41.51,1.41E-4,0.0001413646,508.91
,Laptop,,16.49,51.79,2.37E-4,0.00023721,853.95
,Blade,,13.8,77.84,2.98E-4,0.00029839,1074.19
,,,,,,,
,,200,,,,,
,RaspberryPi,,0.5,597.29,8.30E-5,0.00008296,298.64
,Tablet,,0.63,145.63,2.56E-5,0.00002558,92.09
,Mac,,14.87,110.58,4.57E-4,0.0004567568,1644.32
,Laptop,,17.38,132.88,6.42E-4,0.0006415,2309.41
,Blade,,18.71,206.48,1.07E-3,0.00107338,3863.24
,,400,,,,,
,RaspberryPi,,0.5,1386.52,1.93E-4,0.00019257,693.26
,Tablet,,0.82,1070.26,2.43E-4,0.00024253,873.1
,Mac,,17.49,269.38,1.31E-3,0.0013087378,4711.46
,Laptop,,18.25,317.98,1.61E-3,0.00161199,5803.17
,Blade,,21.17,503.33,2.96E-3,0.00296018,10655.50
,,500,,,,,
,RaspberryPi,,0.5,1833.07,2.55E-4,0.00025459,916.53
,Tablet,,0.82,1085.17,2.47E-4,0.00024738,890.56
,Mac,,18.75,352.31,1.83E-3,0.0018349479,6605.81
,Laptop,,18.58,416.76,2.15E-3,0.00215104,7743.73
,Blade,,22.19,668.54,4.12E-3,0.00412068,14834.90
,,1000,,,,,
,RaspberryPi,,0.5,3504.14,4.87E-4,0.00048669,1752.07
,Tablet,,0.82,2060.85,4.68E-4,0.00046847,1686.49
,Mac,,19.89,688.63,3.80E-3,0.0038046808,13696.85
,Laptop,,19.01,813.78,4.30E-3,0.0042972,15469.93
,Blade,,17.1,1305.84,6.20E-3,0.00620224,22329.86
