generacion: 168, fr: 64,0000 fs: 0,0000 fa: 1,0000
generacion: 500, fr: 52,0000 fs: 12,0000 fa: 0,8125
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 500, fr: 58,0000 fs: 6,0000 fa: 0,9062
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 500, fr: 63,0000 fs: 1,0000 fa: 0,9844
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 500, fr: 52,0000 fs: 12,0000 fa: 0,8125
generacion: 500, fr: 59,0000 fs: 5,0000 fa: 0,9219
generacion: 500, fr: 58,0000 fs: 6,0000 fa: 0,9062
generacion: 500, fr: 58,0000 fs: 6,0000 fa: 0,9062
generacion: 500, fr: 60,0000 fs: 4,0000 fa: 0,9375
generacion: 500, fr: 58,0000 fs: 6,0000 fa: 0,9062
generacion: 500, fr: 60,0000 fs: 4,0000 fa: 0,9375
generacion: 290, fr: 64,0000 fs: 0,0000 fa: 1,0000
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 500, fr: 54,0000 fs: 10,0000 fa: 0,8438
generacion: 468, fr: 64,0000 fs: 0,0000 fa: 1,0000
generacion: 170, fr: 64,0000 fs: 0,0000 fa: 1,0000
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 38, fr: 64,0000 fs: 0,0000 fa: 1,0000
generacion: 500, fr: 61,0000 fs: 3,0000 fa: 0,9531
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 364, fr: 64,0000 fs: 0,0000 fa: 1,0000
generacion: 500, fr: 57,0000 fs: 7,0000 fa: 0,8906
generacion: 500, fr: 52,0000 fs: 12,0000 fa: 0,8125
generacion: 500, fr: 56,0000 fs: 8,0000 fa: 0,8750
generacion: 500, fr: 57,0000 fs: 7,0000 fa: 0,8906
generacion: 500, fr: 60,0000 fs: 4,0000 fa: 0,9375
