----- popsize=50

run   J 		sec.
1	0,68		0,78
2	3,5 		3,88
3	0,08		0,22
4	13,5		11,06
5	0,583		1,55
6	12,1		9,38
7	0,147		0,24
8	0,068		0,1
9	0,197		0,34
10	0,345		0,75
11	4,1 		4
12	0,3 	 	0,41
13	0,491		1,01
14	0,04		0,1
15	22,3		16,19
16	0,405		1,42
17	0,114		0,32
18	0,419		0,8
19	0,447		1,6
20	20,3		17,49
21	0,691		0,99
22	1,7 		2,11
23	5,3 		4,34
24	0,054		0,1
25	0,097		0,43
26	9,5 		8,02
27	0,372		1,15
28	0,218		0,13
29	0,236		0,49
30	0,576		1,08
			
----- popsize=100

run   J 		sec.
1	0,056		0,67
2	0,273		0,94
3	1,3 		2,26
4	1,3 		2,35
5	0,457		2,48
6	3,3 		3,82
7	11,4		11,98
8	0,155		0,24
9	0,052		0,25
10	1,8 		2,46
11	5,3 		6,27
12	0,16		0,22
13	0,177		0,61
14	0,092		0,22
15	1,5 		1,83
16	0,381		0,93
17	2,3 		2,88
18	3,5 		3,3
19	0,069		0,22
20	0,564		1,31
21	0,327		1,14
22	0,165		0,74
23	1,3 		1,97
24	0,093		0,21
25	0,068		0,26
26	2,1 		2,56
27	0,252		0,82
28	0,042		0,24
29	1,3 		1,65
30	0,148		0,22

----- popsize=500

run   J 		sec.
1	0,182		1,13
2	0,333		1,23
3	0,236		1,15
4	0,22		1,95
5	2,8 		3,21
6	0,1 		1,02
7	1,1 		2,09
8	0,977		1,12
9	0,97		1,16
10	1,1 		2,23
11	2,9 		4,3
12	0,152		1,1
13	0,847		1,14
14	0,264		1,11
15	0,142		1,13
16	0,263		1,14
17	1,8 		3,05
18	1   		1,09
19	0,26		1,2
20	0,994		1,16
21	3,8 		5,29
22	2,8 		3,52
23	0,178		1,09
24	0,126		1,1
25	0,181		1,14
26	1,1 		1,17
27	2,7 		4
28	0,884		1,17
29	0,158		1,11
30	0,15		1,08

----- popsize=1000

run   J 		sec.
1	0,998		2,29
2	1,7 		2,47
3	0,963		2,31
4	1,1 		2,24
5	3,6 		4,53
6	1,9 		2,26
7	1,1 		2,26
8	1,9 		2,25
9	0,995		2,41
10	3,6 		4,6
11	1   		2,32
12	1,1 		2,27
13	1,9 		2,29
14	1,1 		2,31
15	1,1 		2,29
16	2   		2,28
17	1,1 		2,24
18	0,98		2,3
19	0,971		2,31
20	0,998		2,22
21	3,6 		4,49
22	1   		2,28
23	1   		2,19
24	0,985		2,17
25	1,9 		2,21
26	0,981		2,3
27	2,9 		4,35
28	0,974		2,35
29	1   		2,22
30	0,98		2,17

